week_start,sales,series_id,week_end,is_event,is_promo,is_special,resid,baseline,is_outlier,upper_limit,lower_limit
2023-01-02,95.39151150219055,Product_001,2023-01-08,0,0,False,-0.7286120932375013,96.12012359542805,False,133.19866317945326,59.25512106807936
2023-01-09,106.56549577815431,Product_001,2023-01-15,0,0,False,4.535197785166233,102.03029799298808,False,139.1088375770133,65.16529546563939
2023-01-16,102.80281574116754,Product_001,2023-01-22,0,0,False,1.551719306189753,101.25109643497778,False,138.329636019003,64.38609390762909
2023-01-23,106.74574457145869,Product_001,2023-01-29,0,0,False,0.01516000100238557,106.7305845704563,False,143.80912415448154,69.86558204310761
2023-01-30,113.01224527878406,Product_001,2023-02-05,0,0,False,2.319327212499502,110.69291806628456,False,147.7714576503098,73.82791553893587
2023-02-06,116.74436921846528,Product_001,2023-02-12,0,0,False,3.694775515576751,113.04959370288853,False,150.12813328691374,76.18459117553984
2023-02-13,105.13248906791522,Product_001,2023-02-19,0,0,False,-2.6681097133927523,107.80059878130797,False,144.87913836533318,70.93559625395928
2023-02-20,120.8129679605314,Product_001,2023-02-26,0,0,False,0.3898496211341751,120.42311833939722,False,157.50165792342244,83.55811581204853
2023-02-27,130.62287861841182,Product_001,2023-03-05,0,0,False,3.969559478247305,126.65331914016451,False,163.73185872418975,89.78831661281582
2023-03-06,123.28417155188994,Product_001,2023-03-12,0,0,False,-0.9494888164744708,124.23366036836441,False,161.31219995238962,87.36865784101572
2023-03-13,123.55987886396808,Product_001,2023-03-19,0,0,False,-0.7979148814687846,124.35779374543687,False,161.4363333294621,87.49279121808817
2023-03-20,120.90787170601466,Product_001,2023-03-26,0,0,False,-1.651907668719403,122.55977937473406,False,159.63831895875927,85.69477684738537
2023-03-27,123.01213411520506,Product_001,2023-04-02,0,0,False,-0.7365458255699622,123.74867994077502,False,160.82721952480023,86.88367741342633
2023-04-03,128.64197285233607,Product_001,2023-04-09,0,0,False,1.6274184663668336,127.01455438596923,False,164.09309396999447,90.14955185862054
2023-04-10,133.19564475226878,Product_001,2023-04-16,0,0,False,5.915203421926449,127.28044133034234,False,164.35898091436758,90.41543880299365
2023-04-17,131.46123829548253,Product_001,2023-04-23,0,0,False,0.2578581730494989,131.20338012243303,False,168.28191970645824,94.33837759508432
2023-04-24,127.573940939916,Product_001,2023-04-30,0,0,False,-1.119260456333734,128.69320139624972,False,165.77174098027493,91.82819886890101
2023-05-01,131.52475024936663,Product_001,2023-05-07,0,0,False,4.471450137380998,127.05330011198562,False,164.13183969601084,90.18829758463693
2023-05-08,131.22731574786266,Product_001,2023-05-14,0,0,False,1.733406450637844,129.4939092972248,False,166.57244888125004,92.62890676987612
2023-05-15,129.48081833244035,Product_001,2023-05-21,0,1,True,2.3898735747826265,127.09094475765772,False,177.34729340631858,89.63471479136078
2023-05-22,248.9045872870317,Product_001,2023-05-28,0,1,True,125.02192833124947,123.88265895578222,True,174.13900760444307,86.42642898948526
2023-05-29,123.13907412512118,Product_001,2023-06-04,1,0,True,-0.6422017901814456,123.78127591530263,False,174.0376245639635,86.3250459490057
2023-06-05,117.32548965092757,Product_001,2023-06-11,0,0,False,-2.647062501568712,119.97255215249628,False,157.0510917365215,83.10754962514758
2023-06-12,121.88589907023112,Product_001,2023-06-18,0,0,False,-2.0612349336968805,123.947134003928,False,161.02567358795324,87.0821314765793
2023-06-19,117.33501262659406,Product_001,2023-06-25,0,0,False,-0.7750054163137605,118.11001804290783,False,155.18855762693306,81.24501551555913
2023-06-26,109.95291423567733,Product_001,2023-07-02,0,0,False,-2.6074569872217666,112.5603712228991,False,149.63891080692432,75.6953686955504
2023-07-03,105.79697398446628,Product_001,2023-07-09,0,0,False,-0.8937550809921788,106.69072906545846,False,143.76926864948368,69.82572653810976
2023-07-10,109.4336892192562,Product_001,2023-07-16,0,0,False,-0.7648885194811328,110.19857773873733,False,147.27711732276254,73.33357521138863
2023-07-17,109.4629310648184,Product_001,2023-07-23,0,0,False,0.26511436309675673,109.19781670172165,False,146.27635628574689,72.33281417437296
2023-07-24,95.9419298004428,Product_001,2023-07-30,0,0,False,-6.583094794512533,102.52502459495533,False,139.60356417898055,65.66002206760663
