week_start,sales,series_id,week_end,is_event,is_promo,is_special,resid,is_outlier
2023-01-02,95.39151150219055,Product_001,2023-01-08,0,0,False,-0.7286120932375013,False
2023-01-09,106.56549577815431,Product_001,2023-01-15,0,0,False,4.535197785166233,False
2023-01-16,102.80281574116754,Product_001,2023-01-22,0,0,False,1.551719306189753,False
2023-01-23,106.74574457145869,Product_001,2023-01-29,0,0,False,0.01516000100238557,False
2023-01-30,113.01224527878406,Product_001,2023-02-05,0,0,False,2.319327212499502,False
2023-02-06,116.74436921846528,Product_001,2023-02-12,0,0,False,3.694775515576751,False
2023-02-13,105.13248906791522,Product_001,2023-02-19,0,0,False,-2.6681097133927523,False
2023-02-20,120.8129679605314,Product_001,2023-02-26,0,0,False,0.3898496211341751,False
2023-02-27,130.62287861841182,Product_001,2023-03-05,0,0,False,3.969559478247305,False
2023-03-06,123.28417155188994,Product_001,2023-03-12,0,0,False,-0.9494888164744708,False
2023-03-13,123.55987886396808,Product_001,2023-03-19,0,0,False,-0.7979148814687846,False
2023-03-20,120.90787170601466,Product_001,2023-03-26,0,0,False,-1.651907668719403,False
2023-03-27,123.01213411520506,Product_001,2023-04-02,0,0,False,-0.7365458255699622,False
2023-04-03,128.64197285233607,Product_001,2023-04-09,0,0,False,1.6274184663668336,False
2023-04-10,133.19564475226878,Product_001,2023-04-16,0,0,False,5.915203421926449,False
2023-04-17,131.46123829548253,Product_001,2023-04-23,0,0,False,0.2578581730494989,False
2023-04-24,127.573940939916,Product_001,2023-04-30,0,0,False,-1.119260456333734,False
2023-05-01,131.52475024936663,Product_001,2023-05-07,0,0,False,4.471450137380998,False
2023-05-08,131.22731574786266,Product_001,2023-05-14,0,0,False,1.733406450637844,False
2023-05-15,129.48081833244035,Product_001,2023-05-21,0,1,True,2.3898735747826265,False
2023-05-22,248.9045872870317,Product_001,2023-05-28,0,1,True,125.02192833124947,True
2023-05-29,123.13907412512118,Product_001,2023-06-04,1,0,True,-0.6422017901814456,False
2023-06-05,117.32548965092757,Product_001,2023-06-11,0,0,False,-2.647062501568712,False
2023-06-12,121.88589907023112,Product_001,2023-06-18,0,0,False,-2.0612349336968805,False
2023-06-19,117.33501262659406,Product_001,2023-06-25,0,0,False,-0.7750054163137605,False
2023-06-26,109.95291423567733,Product_001,2023-07-02,0,0,False,-2.6074569872217666,False
2023-07-03,105.79697398446628,Product_001,2023-07-09,0,0,False,-0.8937550809921788,False
2023-07-10,109.4336892192562,Product_001,2023-07-16,0,0,False,-0.7648885194811328,False
2023-07-17,109.4629310648184,Product_001,2023-07-23,0,0,False,0.26511436309675673,False
2023-07-24,95.9419298004428,Product_001,2023-07-30,0,0,False,-6.583094794512533,False
2023-07-31,4.926331602989078,Product_001,2023-08-06,0,0,False,-102.175184097747,True
2023-08-07,97.24905105587337,Product_001,2023-08-13,0,0,False,-3.045435312499052,False
2023-08-14,97.5986650867708,Product_001,2023-08-20,0,0,False,-4.331100192435031,False
2023-08-21,87.96037403252143,Product_001,2023-08-27,0,0,False,-1.0760593830459584,False
2023-08-28,96.85377967889356,Product_001,2023-09-03,0,0,False,1.120824955458545,False
