week_start,sales,series_id,week_end,promo_type,count_normal_weeks,count_promo_weeks,percent_normal_weeks,last_1yr_sales_vol,history_count,f_ratio_trend,f_ratio_season,stiffness_ratio,stiffness_interpretation,trend,seasonal,baseline,resid,class,noise_cv,forecast_score,is_outlier,upper_limit,lower_limit
2022-07-11,104.03438507944018,Product_001,2022-07-17,Normal,73,4,94.8,7634.888659802397,77,2.285,509.88,0.999,Wavy (Warning: Baseline absorbing outliers),136.8057973561997,-32.77141227675952,104.03438507944017,2.842170943040401e-14,Seasonal with Trend,0.028,High,False,104.03438507944033,104.03438507944007
2022-07-18,101.01990609226986,Product_001,2022-07-24,Normal,73,4,94.8,7634.888659802397,77,2.285,509.88,0.999,Wavy (Warning: Baseline absorbing outliers),136.9661017023855,-23.998408088257353,112.96769361412814,-11.947787521858274,Seasonal with Trend,0.028,High,True,112.9676936141283,112.96769361412804
2022-07-25,99.90273166837046,Product_001,2022-07-31,Normal,73,4,94.8,7634.888659802397,77,2.285,509.88,0.999,Wavy (Warning: Baseline absorbing outliers),137.12640604857057,-37.22367438020004,99.90273166837054,-5.684341886080802e-14,Seasonal with Trend,0.028,High,False,99.90273166837069,99.90273166837044
2022-08-01,95.77029296322488,Product_001,2022-08-07,Normal,73,4,94.8,7634.888659802397,77,2.285,509.88,0.999,Wavy (Warning: Baseline absorbing outliers),137.28671039475552,-41.51641743153076,95.77029296322476,1.1368683772161603e-13,Seasonal with Trend,0.028,High,False,95.77029296322492,95.77029296322466
2022-08-08,89.4101106572273,Product_001,2022-08-14,Normal,73,4,94.8,7634.888659802397,77,2.285,509.88,0.999,Wavy (Warning: Baseline absorbing outliers),137.4470147409404,-48.03690408371305,89.41011065722736,-5.684341886080802e-14,Seasonal with Trend,0.028,High,False,89.41011065722752,89.41011065722726
2022-08-15,85.13920761421606,Product_001,2022-08-21,Normal,73,4,94.8,7634.888659802397,77,2.285,509.88,0.999,Wavy (Warning: Baseline absorbing outliers),137.6073190871261,-52.46811147290988,85.1392076142162,-1.4210854715202004e-13,Seasonal with Trend,0.028,High,True,85.13920761421636,85.1392076142161
2022-08-22,109.84733258423437,Product_001,2022-08-28,Normal,73,4,94.8,7634.888659802397,77,2.285,509.88,0.999,Wavy (Warning: Baseline absorbing outliers),137.767623433311,-45.34538408509123,92.42223934821976,17.42509323601459,Seasonal with Trend,0.028,High,True,92.42223934821992,92.42223934821966
2022-08-29,84.38801511162535,Product_001,2022-09-04,Normal,73,4,94.8,7634.888659802397,77,2.285,509.88,0.999,Wavy (Warning: Baseline absorbing outliers),137.9279277794956,-53.539912667870404,84.38801511162521,1.4210854715202004e-13,Seasonal with Trend,0.028,High,False,84.38801511162536,84.38801511162511
2022-09-05,85.31279631398277,Product_001,2022-09-11,Normal,73,4,94.8,7634.888659802397,77,2.285,509.88,0.999,Wavy (Warning: Baseline absorbing outliers),138.08823212568137,-52.77543581169868,85.31279631398269,8.526512829121202e-14,Seasonal with Trend,0.028,High,False,85.31279631398284,85.31279631398259
2022-09-12,103.23738664906064,Product_001,2022-09-18,Normal,73,4,94.8,7634.888659802397,77,2.285,509.88,0.999,Wavy (Warning: Baseline absorbing outliers),138.2485364718659,-43.89696608072451,94.35157039114138,8.88581625791926,Seasonal with Trend,0.028,High,True,94.35157039114154,94.35157039114128
2022-09-19,85.76085783306817,Product_001,2022-09-25,Normal,73,4,94.8,7634.888659802397,77,2.285,509.88,0.999,Wavy (Warning: Baseline absorbing outliers),138.40884081805117,-47.839071745616216,90.56976907243495,-4.808911239366779,Seasonal with Trend,0.028,High,True,90.56976907243511,90.56976907243485
2022-09-26,89.83233507077993,Product_001,2022-10-02,Normal,73,4,94.8,7634.888659802397,77,2.285,509.88,0.999,Wavy (Warning: Baseline absorbing outliers),138.56914516423655,-54.55733049403507,84.01181467020147,5.820520400578459,Seasonal with Trend,0.028,High,True,84.01181467020163,84.01181467020137
2022-10-03,91.12920623205646,Product_001,2022-10-09,Normal,73,4,94.8,7634.888659802397,77,2.285,509.88,0.999,Wavy (Warning: Baseline absorbing outliers),138.72944951042174,-46.298002838926685,92.43144667149505,-1.3022404394386058,Seasonal with Trend,0.028,High,True,92.43144667149521,92.43144667149495
2022-10-10,92.96442778381694,Product_001,2022-10-16,Normal,73,4,94.8,7634.888659802397,77,2.285,509.88,0.999,Wavy (Warning: Baseline absorbing outliers),138.88975385660723,-39.20312251554705,99.68663134106018,-6.722203557243233,Seasonal with Trend,0.028,High,True,99.68663134106033,99.68663134106008
2022-10-17,92.3877484997534,Product_001,2022-10-23,Normal,73,4,94.8,7634.888659802397,77,2.285,509.88,0.999,Wavy (Warning: Baseline absorbing outliers),139.05005820279226,-40.27409928013817,98.7759589226541,-6.388210422900698,Seasonal with Trend,0.028,High,True,98.77595892265425,98.775958922654
2022-10-24,93.68869612123976,Product_001,2022-10-30,Normal,73,4,94.8,7634.888659802397,77,2.285,509.88,0.999,Wavy (Warning: Baseline absorbing outliers),139.21036254897743,-45.521666427737756,93.68869612123967,8.526512829121202e-14,Seasonal with Trend,0.028,High,False,93.68869612123983,93.68869612123957
2022-10-31,95.49707410763,Product_001,2022-11-06,Normal,73,4,94.8,7634.888659802397,77,2.285,509.88,0.999,Wavy (Warning: Baseline absorbing outliers),139.37066689516269,-43.87359278753269,95.49707410763,0.0,Seasonal with Trend,0.028,High,False,95.49707410763016,95.4970741076299
2022-11-07,108.93868849511986,Product_001,2022-11-13,Normal,73,4,94.8,7634.888659802397,77,2.285,509.88,0.999,Wavy (Warning: Baseline absorbing outliers),139.5309712413474,-30.592282746227568,108.93868849511983,2.842170943040401e-14,Seasonal with Trend,0.028,High,False,108.93868849511999,108.93868849511973
2022-11-14,110.07907717625402,Product_001,2022-11-20,Normal,73,4,94.8,7634.888659802397,77,2.285,509.88,0.999,Wavy (Warning: Baseline absorbing outliers),139.69127558753254,-23.646267932882854,116.0450076546497,-5.965930478395677,Seasonal with Trend,0.028,High,True,116.04500765464985,116.0450076546496
2022-11-21,112.8465661946807,Product_001,2022-11-27,Black Friday,73,4,94.8,7634.888659802397,77,2.285,509.88,0.999,Wavy (Warning: Baseline absorbing outliers),139.85157993371791,-27.005013739037132,112.84656619468078,-8.526512829121202e-14,Seasonal with Trend,0.028,High,False,112.846566194681,112.84656619468049
2022-11-28,114.75298917952074,Product_001,2022-12-04,Normal,73,4,94.8,7634.888659802397,77,2.285,509.88,0.999,Wavy (Warning: Baseline absorbing outliers),140.0118842799029,-14.884794714012576,125.12708956589032,-10.374100386369577,Seasonal with Trend,0.028,High,True,125.12708956589047,125.12708956589022
2022-12-05,115.78760618115206,Product_001,2022-12-11,Normal,73,4,94.8,7634.888659802397,77,2.285,509.88,0.999,Wavy (Warning: Baseline absorbing outliers),140.17218862608806,-17.255602832182003,122.91658579390605,-7.128979612753994,Seasonal with Trend,0.028,High,True,122.91658579390621,122.91658579390595
2022-12-12,116.09870111930996,Product_001,2022-12-18,Normal,73,4,94.8,7634.888659802397,77,2.285,509.88,0.999,Wavy (Warning: Baseline absorbing outliers),140.33249297227314,-24.233791852963247,116.0987011193099,5.684341886080802e-14,Seasonal with Trend,0.028,High,False,116.09870111931005,116.0987011193098
2022-12-19,125.89080490973798,Product_001,2022-12-25,Normal,73,4,94.8,7634.888659802397,77,2.285,509.88,0.999,Wavy (Warning: Baseline absorbing outliers),140.4927973184585,-14.601992408720536,125.89080490973798,0.0,Seasonal with Trend,0.028,High,False,125.89080490973814,125.89080490973788
2022-12-26,127.13596218452584,Product_001,2023-01-01,Normal,73,4,94.8,7634.888659802397,77,2.285,509.88,0.999,Wavy (Warning: Baseline absorbing outliers),140.65310166464343,-13.517139480117592,127.13596218452584,0.0,Seasonal with Trend,0.028,High,False,127.135962184526,127.13596218452574
2023-01-02,132.8219325829164,Product_001,2023-01-08,Normal,73,4,94.8,7634.888659802397,77,2.285,509.88,0.999,Wavy (Warning: Baseline absorbing outliers),140.81340601082874,-7.9914734279123785,132.82193258291636,2.842170943040401e-14,Seasonal with Trend,0.028,High,False,132.8219325829165,132.82193258291628
2023-01-09,133.47989289589444,Product_001,2023-01-15,Normal,73,4,94.8,7634.888659802397,77,2.285,509.88,0.999,Wavy (Warning: Baseline absorbing outliers),140.973710357014,-7.49381746111958,133.4798928958944,2.842170943040401e-14,Seasonal with Trend,0.028,High,False,133.47989289589455,133.47989289589432
2023-01-16,131.31528378769127,Product_001,2023-01-22,Normal,73,4,94.8,7634.888659802397,77,2.285,509.88,0.999,Wavy (Warning: Baseline absorbing outliers),141.13401470319883,-9.818730915507711,131.31528378769113,1.4210854715202004e-13,Seasonal with Trend,0.028,High,False,131.31528378769127,131.31528378769104
2023-01-23,141.56007738565285,Product_001,2023-01-29,Normal,73,4,94.8,7634.888659802397,77,2.285,509.88,0.999,Wavy (Warning: Baseline absorbing outliers),141.2943190493842,0.26575833626864404,141.56007738565285,0.0,Seasonal with Trend,0.028,High,False,141.560077385653,141.56007738565276
2023-01-30,152.77505488774577,Product_001,2023-02-05,Normal,73,4,94.8,7634.888659802397,77,2.285,509.88,0.999,Wavy (Warning: Baseline absorbing outliers),141.45462339556914,11.320431492176544,152.77505488774568,8.526512829121202e-14,Seasonal with Trend,0.028,High,False,152.77505488774582,152.7750548877456
